Category	Question	a	b	c	d	correctanswer	pathOfImage
Science	A student mixes apple juice, water, and cinnamon together. Did a chemical reaction occur?	Yes, because dissolving is always a chemical reaction. 	No, because the properties stayed the same. 	Yes, because the apple juice changed the color of the water. 	Yes, because the temperature stayed the same. 	No, because the properties stayed the same. 	
Numerical Reasoning	A man has ₱10,000 to invest. He invests ₱4000 at 5 % and ₱3500 at 4 %. In order to have a yearly income of ₱500, he must invest the remainder at:	6.40%	6%	6.10%	6.20%	6.40%	
Numerical Reasoning	What is the square root of 144?	12	34	67	24	12	
Numerical Reasoning	The ratio in a right triangle of adjacent to hypotenuse is _____	inverse cosine	sine	cosine	tangent	cosine	
Numerical Reasoning	Sarah is twice as old as her youngest brother. If the difference between their ages is 15 years. How old is her youngest brother?	15	25	20	10	15	
Numerical Reasoning	If y(x-1)=z then x=	y-z	y(z-1)	z/y + 1	z(y-1)	z/y + 1	
Numerical Reasoning	In a writing competition, the first place winner receives ½ of the prize money. The second runner up receives ¼ of what the winner won. What was the total amount of prize money distributed if the winner receives ₱6,000?	₱8,500	₱6,000	₱15,000	₱12,000	₱12,000	
Numerical Reasoning	Write the equation for the line in slope-intercept form.	y= -1x+3	y=1/4x+3	y= -4x+3	y= 4x+3	y= 4x+3	images/Numerical#32.png
Numerical Reasoning	Two angles of a triangle measure 15° and 85 °. What is the measure for the third angle?	50°	60°	55°	80°	80°	
Numerical Reasoning	2345 x 0.00001 =?	0.2345	2.345	234.5	0.02345	0.02345	
Numerical Reasoning	What is the equation of this line?	y = 2x -2	y = 2x +2	y = -x + 2	Cannot be Determined  	y = -x + 2	images/Numerical#31.png
Verbal Reasoning	Which word does NOT belong with the others?	slice	core	seeds	pulp	slice	
Verbal Reasoning	BIRDS are to FLY as HORSE is to:	Legs	Trot	Paddock	Speed	Trot	
Verbal Reasoning	Which word does NOT belong with the others?	cord	twine	tape	yarn	tape	
Verbal Reasoning	Select the word that has a similar meaning to outgoing:	Introverted	Extroverted	Exit	Contained	Extroverted	
Verbal Reasoning	If PALE is coded as 2134, EARTH is coded as 41590, how can is PEARL be coded in that language?	25413	24153	25430	29530	24153	
Verbal Reasoning	INNUMERABLE : QUANTITY::	invaluable : worth	superficial : surface	finite : size	impotent : strength	invaluable : worth	
Verbal Reasoning	COMPETITION : CONTESTANT ::	journey : traveler	royalty : monarch	trial : witness	election : candidate	election : candidate	
Verbal Reasoning	Which of the following is most similar in meaning to sad:	Unhappy	Happy	Tears	Cry	Unhappy	
Verbal Reasoning	felony, offense, sin, wrongdoing. All of the words above are alike in some way. Which of the following options could not go be included?	Misconduct	Prison	Crime	Immoral	Prison	
Verbal Reasoning	“vigilant, meticulous, precise, particular”. All of the words are alike in some way. Which of the following options could not go be included?	Detailed	Hasty	Perfectionistic	Careful	Hasty	
General Information	It is a specialized agency of the United Nations that concerns international public health.	Department of Health	International Health Organization 	World Health Organization	All of the above	International Health Organization 	
General Information	A phrase or a fixed expression that has a figurative meaning, or sometimes literal meaning. Its figurative meaning is different from the literal meaning.	vocabulary	oem	Idiom	Metaphor	Idiom	
General Information	 It is the right and obligation by all citizens, who are at least 18 years of age, and qualified by law, to vote in the election of national and local officials of the government without literacy, property, or other substantive requirement.	civil right	election	voting power	suffrage	suffrage	
General Information	She is the first Filipino player to win the US Women’s Open golf championship.	Lois Kaye Go	Bianca Pagdanganan	Yuka Saso	Abegail Arevalo	Yuka Saso	
General Information	What disaster caused the death of 1, 621 people in the Philippines in 1990?	An Earthquake	A tsunami	A hurricane	A volcano eruption	An Earthquake	
General Information	Which geographical term best describes the Philippines?	Peninsula	Delta	Archipelago	Strata	C	
General Information	What year apple release the first IPhone?	2005	2006	2007	2008	2007	
General Information	Who discovered the Penicillin?	Hippocrates	Albert Einstein	Marie Curie	Alexander Fleming	Alexander Fleming	
General Information	One hundred-three (103) shipping containers from Canada which were falsely declared as plastic scraps for recycling were sent to the Philippines from June 2013 to January 2014. What do these containers have?	Old Clothes	Garbages	Fruits	Illegal Drugs	Garbage	
General Information	 The legislative power shall be vested in the _________ which shall consist of a Senate and a House of Representatives.	Office of the Ombudsman	Office of the Solicitaor General	Congress of the Philippines	The Supreme Court	Congress of the Philippines	
General Information	He is a Filipino gymnast who won the men's floor title at the 2019 World Artistic Gymnastics Championships in Stuttgart, Germany.	Jan Gwynn Timbang	Justine Ace De Leon	Reyland Capellan	Carlos Edriel Yulo	Carlos Edriel Yulo	
General Information	When was Covid 19 declared a pandemic?	11-Jan-20	11-Feb-20	11-Mar-20	11-Apr-20	11-Mar-20	
General Information	Can you be arrested without a warrant of arrest?	No, if you are more than 60 years old. 	Yes, if you are reported to have committed a crime. 	No, if you are a minor.	Yes, if you are caught in the act of committing a crime. 	Yes, if you are caught in the act of committing a crime. 	
General Information	In literature, after the climax comes denouement which is what?	The Opening Scene	The final part of the play	An intermission	The Rising emotions	The final part of the play	
General Information	Who was known as the "Hero of Tirad Pass?"	Gregorio Del Pilar	Andres Bonifacio	Dr. Jose Rizal	Marcelo Del Pilar	Gregorio Del Pilar	
General Information	 She is the first Filipino recipient of the Nobel Peace Prize and the 18th woman to win the Peace Prize in its 120-year history.	Che Che Lazaro	Kara David	Jessica Soho	Maria Ressa	Maria Ressa	
General Information	Who helped Jose Rizal published Noli Me Tangere?	Maximo Viola	Marcelo Del Pilar	Gregorio Del Pilar	Andres Bonifacio	Maximo Viola	
General Information	The State under our present Constitution recognizes the vital role of the youth in nation-building and shall-	Social Well-being	Intellectual well-being	promote their physical well-being	All of the above	All of the above	
General Information	The Commander-in-Chief of all the Armed Forces of the Philippines is the:	President	Secretary of National Defense	PNP Chief	Chief of staff	President	
General Information	It mandates the blending of cocodiesel or coco methyl ester (CME) to all diesel fuel and bioethanol in gasoline sold across the country.	Biofuels Act of 2006	Solid Waste Management Act of 200	Fuel Development Act	Clean Air Act of 1999	Biofuels Act of 2006	
General Information	 The Philippines is a _________ and ______________ state. Sovereignty resides in the people and all government authority emanates from them.	democratic-independent	presidential-independent	democratic-republican	free-independent	democratic-republican	
General Information	 Who is the principal law officer and legal defender of the Republic of the Philippines. He/she represents the government in all criminal proceedings in the Supreme Court and Court of Appeals	Chief Justice	ombudsman	Solicitor General	None of the above	Solicitor General	
General Information	 The present anti-graft court is known as the __________.	PCGG	ombudsman	Solicitor General	Sandiganbayan	Sandiganbayan	
General Information	It is the electoral process by which an initiative on the Constitution is either approved or rejected by the people.	Plebiscite	Referendum	Petition	Iniative	Plebiscite	
General Information	Waste breaks down into natural components and can be recycled into the life cycle naturally	Recyclable	Biodegradable	N0n-Biodegradable	Bio-Chemical	Biodegradable	
General Information	The principle of human rights which explains that rights of every Filipino cannot be taken away, mortgage or surrendered is called _______ principle.	Inalienable	Interdependence	Universal	Indivisible	Inalienable	
General Information	The following are members of the Constitutional Commission except:	Commision on Civil Rights	Commision on Audit	Civil Service Commision 	Commision on Elections	Commision on Civil Rights	
General Information	Which of the following is not considered a biofuel?	Coco Methyl Ester	Bunker Fuel	Jathropa or "Tuba-Tuba"	Liquefied Natural Gas	Bunker Fuel	
Science	It is a special area of the atmosphere that protects the Earth from harmful ultraviolet rays emitted by the sun.	Ozone Layer	Van Allen Belts	Thermosphere	Ionosphere	Ozone Layer	
Science	 Organisms in temperate zones are able to time their activities to cues given by the photoperiod, since:	All organisms have a biological clock.	All organisms need time to rest	Day length is always constant for a specific locality and season	Light is a limiting factor	Light is a limiting factor	
Science	If a 10-kilogram object accelerates suddenly at 15 m/s2, how much force was applied to the object?	150 newtons	100 kilograms	15newtons	150 kilograms	150 newtons	
Science	Scientists once thought that the continents had formed in their current locations. Alfred Wegener first published this theory of continental drift in 1915. Which of the following provides evidence for continental drift?	Movement of the Australian continent was observed.	Plants and animals found in Africa differ from those found in Australia	Africa North America and South America fit together like puzzle pieces	Africa and South America have the same type of climate	Africa and South America have the same type of climate	
Science	Where are earthquakes most likely to occur?	where Earth's tectonic plates are moving together	where magma cools slowly beneath Earth's surface	where Earth's seafloor is spreading into deep ocean trenches	where Earth's lithosphere is in constant slow motion	where Earth's tectonic plates are moving together	
Science	 Isotopes of an element contain same number of	Electrons and neutrons	Protons but different number of neutrons.	Neutrons but different number of protons. 	Protons and neutrons	Protons but different number of neutrons.	
Science	Which layer of Earth has the GREATEST density and is solid?	mantle	Inner core	outer core	crust	Inner Core	
Science	Kepler's second law or the equal area law states that the closer a planet is to the sun the ________ it travels	Higher	Lower	Faster	Slower	Faster	
Science	When velocity is doubled:	Acceleration is doubled	Potential energy is doubled	Kinetic energy is doubled	Momentum is doubled	Momentum is doubled	
Science	What is the name of the solid that forms after some solutions react chemically?	Precipitate	Colloid	Solid	Mixture	Precipitate	
Science	The universal law of gravitation was propounded by:	Galileo Galilei	Johannes Kepler	Nicolas Coppernicus	Isaac Newton	Isaac Newton	
Science	Which occurs when atoms link together in new ways to create a substance different from the original substances?	an inversion	a chemical change	a nuclear reaction	a physical change	a chemical change	
Science	Around what body of water will you find the region known as the Ring of Fire?	pacific ocean	atlantic ocean	indian ocean	arctic ocean	pacific ocean	
Science	Radioactivity is a phenomenon of the spontaneous emission of:	Electrons (beta particles)	Protons (alpha particles)	Gamma rays (short wave electromagnetic waves)	All of these	All of these	
Science	The ________________ tells you how many energy levels are used in an element	period number	protons	atom	group number	period number	
Science	The lithosphere combines what two layers?	Mantel & Athenosphere	Athenosphere & Crust	Athenosphere and inner core	Crust & Upper Mantle	Crust & Upper Mantle	
Science	The mass number of a nucleus is:	the sum of the number of protons and neutrons present in the nucleus.	a fraction	always more than the atomic weight	always less than its atomic number	the sum of the number of protons and neutrons present in the nucleus.	
Science	Which of the following is common bleaching agent?	Chlorine	Calcium Chloride	Sodium Chloride	Sodium Hydroxide	Chlorine	
Science	Distillation is the process of separating liquids by using _____.	a centifuge	Precipitation and transpiration	a catalyst	evaporation and condensation	evaporation and condensation	
Science	Peanut ran 50 meters in 10 seconds. What was Peanut's average speed?	2 m/s	5km/h	5m/s	5 m/s north	5m/s	
Science	One finds it more difficult to walk on ice than on a concrete road because:	Ice is soft and spongy whereas concrete is hard	The friction between the ice and the feet is less than that between the concrete and feet	There is more friction on the ice than on concrete.	None of these	The friction between the ice and the feet is less than that between the concrete and feet	
Science	Metamorphic rock can form from:	maga	igneous rock only	sedimentary rock only	igneous or sedimentary rock	igneous or sedimentary rock	
Science	Metamorphic rock forms as a result of:	compaction and cementation	heat and pressure	cooling magma	heat and pressure		
Science	Of the planets below, which has the largest number of satellites:	mercury	jupiter	neptune pluto	jupiter		
Science	One should not connect a number of electrical appliances to the same power socket because:	the appliance will not get full voltage	this can damage the electrical meter	this can damage the domestic wiring due to overloading	this can damge the appliances due to overloading	this can damage the domestic wiring due to overloading	
Science	Sound of frequency below 20 Hz is called:	infrasonic	ultrasonic	supersonic	audio sounds	infrasonic	
Science	A woman lifts 20 bricks, each of weight 6N. What other information is needed to calculate the useful work done in lifting the bricks?	the mass of the bricks	the volume of the bricks	the time taken to lift the bricks	the distance she lifts the bricks	the distance she lifts the bricks	
Science	How many valence electrons do elements in group 17 have in their outer energy level?	0	1	17	7	7	
Science	According to Newton’s third law of motion, when a hammer strikes and exerts force on a nail, the nail-	moves at a constant speed	dissappears into the wood	creates a friction with the hammer	exerts an equal and opposite force on the hammer	exerts an equal and opposite force on the hammer	
Numerical Reasoning	Which of the fraction is the smallest?	2\9	2\11	2\3	2\13	2\13	
Numerical Reasoning	20 % of 2 is equal to:	0.04	4	20	0.4	0.4	
Numerical Reasoning	An instrument store gives a 10% discount to all students off the original cost of an instrument. During a back to school sale an additional 15% is taken off the discounted price. Julie, a student at the local high school, purchases a flute for ₱306. How much did it originally cost?	₱400	₱450	₱325	₱350	₱400	
Numerical Reasoning	Which fraction is equal to 0.20%?	1\20	1\400	1\50	1\500	1\500	
Numerical Reasoning	Peter can mow the lawn in 40 minutes and John can mow the lawn in 60 minutes. How long will it take for them to mow the lawn together?	34 minutes	24 minutes	45 minutes	30 minutes	24 minutes	
Numerical Reasoning	What is the greatest common factor of 42, 126, and 210?	42	21	14	2	42	
Numerical Reasoning	Simplify: √48	4√2	6√3	4√2	4√3	4√3	
Numerical Reasoning	One half of the students in a school are girls, 3/5 of these girls are studying in lower classes.What fraction of girls are studying in lower classes?	3\10	2\4	2\10	3\4	3\10	
Numerical Reasoning	Two angles of a triangle measure 15° and 85 °. What is the measure for the third angle?	50°	60°	55°	80°	80°	
Numerical Reasoning	4/7 of a number is 84. Find the number.	140	100	147	120	147	
Numerical Reasoning	 Sales for a business were 3 million dollars more the second year than the first, and sales for the third year were double the sales for the second year. If sales for the third year were 38 million dollars, what were sales, in millions of dollars, for the first year?	17.5	20.5	22	16	16	
Numerical Reasoning	A herd of cows gives 4 liters of milk each day. But each cow gives one-third of total milk each day. They give 24 liters’ milk in six days. How many cows are there in the herd?	5	3	4	2	3	
Numerical Reasoning	A DVD player with a list price of ₱100 is marked down 30%. If John gets an employee discount of 20% off the sale price, how much does John pay for the DVD player?	₱86.00	₱77.00	₱44.00	₱56.00	₱56.00	
Numerical Reasoning	What is the square root of 81?	7	6	8	9	9	
Numerical Reasoning	What is the cube root of 216?	8	6	4	5	6	
Numerical Reasoning	You are lying 120 ft. away from a tree that is 50 feet tall. You look up at the top of the tree. Approximately how far is yours hear from the top of the tree in a straight line?	120 feet	50 feet	130 feet	75 feet	130 feet	
Numerical Reasoning	Jempoy's Bike Shop has reduced the price of a rear derailleur by 15%. What is the original price of the item if the sale price is ₱1275?	₱1600	₱1500	₱1850	₱1400	₱1500	
Numerical Reasoning	A student chose a number, multiplied it by 2, then subtracted 138 from the result and got 102. What was the number he chose?	150	140	120	110	120	
Numerical Reasoning	You decide to dye your hair various colors for Halloween. If you dye 1/3 of it blue, 1/4 pink, and 1/4 black, how much of your original hair color is left?	5\6	3\4	4\6	4\5	5\6	
Numerical Reasoning	How many degrees are there in a right angle?	45	180	360	90	90	
Numerical Reasoning	What is the equation of this line?	y = 2x -2	y = 2x +2	y = -x + 2	Cannot be determined	y = -x + 2	
Numerical Reasoning	Write the equation for the line in slope-intercept form	y= -1x+3	y=1/4x+3	y= -4x+3	y= 4x+3	y= 4x+3	
Numerical Reasoning	What will it cost to tile a kitchen floor that is 12 feet wide by 20 feet long if the tile cost ₱8.91 per square yard?	₱271.38	₱271.38	₱224.51	₱246.55	₱271.38	
Numerical Reasoning	If 3x=6x-15 then x + 8=	5	13	10	11	13	
Numerical Reasoning	How many irrational numbers are there between 1 and 6?	10	infinitely many	3	4	infinitely many	
Numerical Reasoning	0.16+0.3+0.08=?	0.28	0.36	0.48	0.54	0.54	
Numerical Reasoning	Nory ran 5 ½ miles Monday, 6 ¼ miles Tuesday, 4 ½ miles Wednesday, and 2 ¾ mile on Thursday. What is the average number of miles Nory ran?	5 miles	4 1/2 miles	18 1/4 miles	4 3/4 miles	4 3/4 miles	
Numerical Reasoning	Which of the following fractions is equal to 5/6?	25\30	40\54	20\30	15\24	25\30	
Numerical Reasoning	Mr. Jones sold two pipes at $1.20 each. Based on the cost, his profit one was 20% and his loss on the other was 20%. On the sale of the pipes, he:	lost 4 cents	broke even	lost 10cents	gained 4 cents	lost 4 cents	
Numerical Reasoning	 If 5 ounces is equal to 140 grams, then 2 pounds of ground meat is equal to how many grams?	915	896	863	878	896	
Verbal Reasoning	Find the statement that prove Sandy is a country music singer.	Sandy sings in a band. Sandy’s band plays country songs.	Sandy likes country music the best.	Difficult music such as country and classical require a strongly trained voice	Sandy has attended singing lessons for many years.	Sandy sings in a band. Sandy’s band plays country songs.	
Verbal Reasoning	Poles : Magnet : : ? : Battery	Terminals	cells	power	energy	Terminals	
Verbal Reasoning	AIRCRAFT is to TRANSPORT as NEWSPAPER is to:	Editor	Media	Publishing	Typing	Media	
Verbal Reasoning	 If PALE is coded as 2134, EARTH is coded as 41590, how can is PEARL be coded in that language?	25413	24153	25430	29530	24153	
Verbal Reasoning	INNUMERABLE : QUANTITY::	invaluable : worth	superficial : surface	finite : size	impotent : strength	invaluable : worth	
Verbal Reasoning	COMPETITION : CONTESTANT ::	journey : traveler	royalty : monarch	trial : witness	election : candidate	election : candidate	
Verbal Reasoning	Which of the following is most similar in meaning to sad:	Unhappy	happy	Tears	Cry	Unhappy	
Verbal Reasoning	felony, offense, sin, wrongdoing All of the words above are alike in some way. Which of the following options could not go be included?	Misconduct	Prison	Crime	Immoral	Prison	
Verbal Reasoning	“vigilant, meticulous, precise, particular”. All of the words are alike in some way. Which of the following options could not go be included?	Detailed	Hasty	Perfectionist	Careful	Hasty	
Verbal Reasoning	elbow: arm : : knee : _________	walking	nose	finger	leg	leg	
Verbal Reasoning	Pride is to lion as school is to	self-respect	teacher	fish	student	fish	
Verbal Reasoning	A man said to a lady, "Your mother's husband's sister is my aunt." How is the lady related to the man?	Sister	Daughter	Granddaughter	Mother	Sister	
Verbal Reasoning	Which word does NOT belong with the others?	experess way	interstate	freeway	street	street	
Verbal Reasoning	Three of the following words are alike in some way. Select the odd word out?	Terrified	Daring	Fearful	pertified	Daring	
Verbal Reasoning	Architect : Building :: Sculptor : ?	Museum	Stone	Chisel	Statue	Statue	
Verbal Reasoning	 SMELL is to NOSE, as SOUND is to:	Eyes	Music	Ear	Trumpet	Ear	
Verbal Reasoning	Which word does NOT belong with the others?	Book	index	chapter	glossary	Book	
Verbal Reasoning	SIAMESE : CAT	mark : spot	romaine : lettuce	dog : puppy	type : breed	romaine : lettuce	
Verbal Reasoning	Which word does NOT belong with the others?	zoology	theology	biology	chemistry	theology	
Verbal Reasoning	Jordan’s cat is bigger than Amy’s cat, but is smaller than Jenna’s cat. Fiona’s cat is the same size as Wendy’s cat, which is bigger than Amy’s cat, but smaller than Jordan’s. If bigger cats are faster, but smaller cats are more obedient, which of the following lists the fastest and most obedient cat?	Jenna & Amy	Wendy & Jenna	Amy & Jordan	Fiona & Jenna	Amy & Jordan	
Verbal Reasoning	Urbane means most nearly:	Polite	Pilant	Grateful	Harsh	Polite	
Verbal Reasoning	There are strict rules against students ____ their mobile phones at the school premises.	having used	using	want to use	are using	using	
Verbal Reasoning	It is not prudent to approach strangers found in isolated spots.	clever	safe	possible	wise	wise	
Verbal Reasoning	He's one of the most hated men in history, despite _______ anything really bad.	he didn't do	not done	he hadn't done	not having done	not having done	
Verbal Reasoning	`To listen to a person's blandishments means most nearly to listen to his:	indirect accusations	long arguments	interesting descriptions	gentle flattery	gentle flattery	
Verbal Reasoning	Little by little, the helpless victim sank into the mud.	hopelessly	gradually	unexpectedly	unnoticeably	gradually	
Verbal Reasoning	 _____ me to your mother when you are in London.	tell	greet	remind	remember	remember	
Verbal Reasoning	It was a situation law abiding citizens could not put up with.	terminate	choose	tolerate	remedy	tolerate	
Verbal Reasoning	The project was left in abeyance for the time being	Suspension	Chaos	Scruinty	Management	Suspension	
Verbal Reasoning	This could have hardly _____ better- we sealed the deal and signed the contract.	gone out	made	played out	done	played out	
Abstract Reasoning	Which of the following best matches the relationship between the shapes in the image?					D	
Abstract Reasoning	What domino comes next in the sequence?					A	
Abstract Reasoning	Which of these shapes cannot be created using the individual shapes below?					B	
Abstract Reasoning						D	
Abstract Reasoning						C	
Abstract Reasoning						C	
Abstract Reasoning						C	
Abstract Reasoning						D	
Abstract Reasoning						A	
Abstract Reasoning						B	
Abstract Reasoning						D	
Abstract Reasoning						D	
Abstract Reasoning						A	
Abstract Reasoning						D	
Abstract Reasoning						A	
Abstract Reasoning						E	
Abstract Reasoning						B	
Abstract Reasoning						C	
Abstract Reasoning						A	
Abstract Reasoning						C	
General Info	What are the five colors of the Olympic rings?	"Blue, Yellow, Black, Green and Red"	"Red, Orange,Blue, Pink and White"	"Gold, Blue, Green, Red and Orange"	"Black, Violet, Blue, Green and Red"	"Blue, Yellow, Black, Green and Red"
General Info	"A GPS is a space-based navigation system that provides location and time information in all weather conditions, anywhere on or near the Earth. What does GPS stand for?"	o Global Positioning Symmetry 	o General Position Satellites 	Global Positioning System 	o Global Positioning Satellites 	Global Positioning System 
