Category	Question	a	b	c	d	correctanswer	pathOfImage
Science	A student mixes apple juice, water, and cinnamon together. Did a chemical reaction occur?	Yes, because dissolving is always a chemical reaction. 	No, because the properties stayed the same. 	Yes, because the apple juice changed the color of the water. 	Yes, because the temperature stayed the same. 	No, because the properties stayed the same. 	
Numerical Reasoning	A man has ₱10,000 to invest. He invests ₱4000 at 5 % and ₱3500 at 4 %. In order to have a yearly income of ₱500, he must invest the remainder at:	6.40%	6%	6.10%	6.20%	6.40%	
Numerical Reasoning	What is the square root of 144?	12	34	67	24	12	
Numerical Reasoning	The ratio in a right triangle of adjacent to hypotenuse is _____	inverse cosine	sine	cosine	tangent	cosine	
Numerical Reasoning	Sarah is twice as old as her youngest brother. If the difference between their ages is 15 years. How old is her youngest brother?	15	25	20	10	15	
Numerical Reasoning	If y(x-1)=z then x=	y-z	y(z-1)	z/y + 1	z(y-1)	z/y + 1	
Numerical Reasoning	In a writing competition, the first place winner receives ½ of the prize money. The second runner up receives ¼ of what the winner won. What was the total amount of prize money distributed if the winner receives ₱6,000?	₱8,500	₱6,000	₱15,000	₱12,000	₱12,000	
Numerical Reasoning	Write the equation for the line in slope-intercept form.	y= -1x+3	y=1/4x+3	y= -4x+3	y= 4x+3	y= 4x+3	images/Numerical#32.png
Numerical Reasoning	Two angles of a triangle measure 15° and 85 °. What is the measure for the third angle?	50°	60°	55°	80°	80°	
Numerical Reasoning	2345 x 0.00001 =?	0.2345	2.345	234.5	0.02345	0.02345	
Numerical Reasoning	What is the equation of this line?	y = 2x -2	y = 2x +2	y = -x + 2	Cannot be Determined  	y = -x + 2	images/Numerical#31.png
Verbal Reasoning	Which word does NOT belong with the others?	slice	core	seeds	pulp	slice	
Verbal Reasoning	BIRDS are to FLY as HORSE is to:	Legs	Trot	Paddock	Speed	Trot	
Verbal Reasoning	Which word does NOT belong with the others?	cord	twine	tape	yarn	tape	
Verbal Reasoning	Select the word that has a similar meaning to outgoing:	Introverted	Extroverted	Exit	Contained	Extroverted	
Verbal Reasoning	If PALE is coded as 2134, EARTH is coded as 41590, how can is PEARL be coded in that language?	25413	24153	25430	29530	24153	
Verbal Reasoning	INNUMERABLE : QUANTITY::	invaluable : worth	superficial : surface	finite : size	impotent : strength	invaluable : worth	
Verbal Reasoning	COMPETITION : CONTESTANT ::	journey : traveler	royalty : monarch	trial : witness	election : candidate	election : candidate	
Verbal Reasoning	Which of the following is most similar in meaning to sad:	Unhappy	Happy	Tears	Cry	Unhappy	
Verbal Reasoning	felony, offense, sin, wrongdoing. All of the words above are alike in some way. Which of the following options could not go be included?	Misconduct	Prison	Crime	Immoral	Prison	
Verbal Reasoning	“vigilant, meticulous, precise, particular”. All of the words are alike in some way. Which of the following options could not go be included?	Detailed	Hasty	Perfectionistic	Careful	Hasty	
Abstract Reasoning		A	B	C	D	D	images/Abstract#1.jpg
Abstract Reasoning		A	B	C	D	A	images/Abstract#2.jpg
Abstract Reasoning		A	B	C	D	B	images/Abstract#.jpg
Abstract Reasoning		A	B	C	D	D	images/Abstract#.jpg
Abstract Reasoning		A	B	C	D	C	images/Abstract#.jpg
Abstract Reasoning		A	B	C	D	C	images/Abstract#.jpg
Abstract Reasoning		A	B	C	D	C	images/Abstract#.jpg
Abstract Reasoning		A	B	C	D	D	images/Abstract#.jpg
Abstract Reasoning		A	B	C	D	A	images/Abstract#.jpg
Abstract Reasoning		A	B	C	D	B	images/Abstract#.jpg
